alert_id,client_id,product_id,product_family,product_category,product_block,alert_type,category,priority_score,priority_level,urgency,confidence,impact_score,urgency_score,explainability_score,expected_revenue,recommended_action,reason,actor_id,action_deadline_hours,source_engines,explanation,evidence,created_at,due_at,suppressed,suppression_reason
AL-8d2adc54302e,28715,Categoria C2,Bioseguridad,unknown,commodity,cross_sell_opportunity,opportunity,49.64,low,critical,0.6,0.05861333333333334,1.0,0.75,879.2,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,marketing_automation,24,feature_engineering | commodity_ai_engine,Potential gap is 879.20. | Capture ratio is 0.00.,"{""potential_h"": 879.2, ""potential_gap"": 879.2, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-fdd370386124,9064,5116,Familia T2,Categoria T1,technical,churn_risk,risk,61.5,medium,critical,0.65,0.29997,1.0,0.85,2548.23,Schedule a retention call and validate whether the product has moved to a competitor.,Technical-product relationship shows abandonment risk.,delegado,24,technical_product_engine,Churn risk score is 60.0. | Inactivity ratio is 5.00. | Detected 1 drift signals.,"{""risk_score"": 0.59994, ""risk_level"": ""medium"", ""inactivity_score"": 1.0, ""days_since_last_order"": 1001.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-4af6c66639b6,37182,5108,Familia T1,Categoria T1,technical,account_deterioration,executive,52.35,medium,medium,0.72,0.32997340774786604,0.6599468154957321,0.86,0.0,Escalate to the account owner and register the recovery outcome after contact.,"Account quality is deteriorating across risk, inactivity or drift signals.",delegado,48,technical_product_engine | signal_fusion,Deterioration score is 0.66. | Risk score is 0.60. | Negative growth component is -0.00.,"{""risk_score"": 0.5999606040709127, ""inactivity_score"": 1.0, ""drift_score"": 0.9998030203545634, ""negative_growth"": -0.0}",2026-05-10T01:57:50.694097,2026-05-12T01:57:50.694097,False,
AL-b2ab300146a2,39414,Categoria C2,Bioseguridad,unknown,commodity,cross_sell_opportunity,opportunity,52.0,medium,critical,0.6,0.11115599999999999,1.0,0.75,1667.34,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 1667.34. | Capture ratio is 0.00.,"{""potential_h"": 1667.34, ""potential_gap"": 1667.34, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-4e69f89c6fc7,3745,5115,Familia T2,Categoria T1,technical,product_mix_drift,anomaly,68.64,medium,critical,0.7,0.44152265137758184,0.9934259655995592,0.82,4996.779999999999,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 0.99. | Volume drift is 0.00. | Interval drift is 0.99.,"{""volume_drift_score"": 0.0, ""interval_drift_score"": 0.9934259655995592, ""peer_drift_score"": 0.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-096718d29170,1000081863,Categoria C1,Anestesia,unknown,commodity,cross_sell_opportunity,opportunity,57.23,medium,critical,0.6,0.227336,1.0,0.75,3410.04,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 3410.04. | Capture ratio is 0.00.,"{""potential_h"": 3410.04, ""potential_gap"": 3410.04, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-ce4513ae62b5,1000059768,Categoria C1,Anestesia,unknown,commodity,cross_sell_opportunity,opportunity,53.67,medium,critical,0.6,0.148208,1.0,0.75,2223.12,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 2223.12. | Capture ratio is 0.00.,"{""potential_h"": 2223.12, ""potential_gap"": 2223.12, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-130ce8ff2129,33115,Categoria T1,Biomateriales,unknown,commodity,cross_sell_opportunity,opportunity,63.65,medium,critical,0.6,0.369892,1.0,0.75,5548.38,Prepare a complementary offer linked to the client's observed consumption profile.,Detected available wallet share in a related product family.,televenta,24,feature_engineering | commodity_ai_engine,Potential gap is 5548.38. | Capture ratio is 0.00.,"{""potential_h"": 5548.38, ""potential_gap"": 5548.38, ""capture_ratio"": 0.0, ""cross_sell_score"": 1.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-630449b74970,1000082689,5382,Familia T1,Categoria T1,technical,product_mix_drift,anomaly,66.98,medium,critical,0.7,0.4281414771196551,0.963318323519224,0.82,0.0,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 0.96. | Volume drift is 0.90. | Interval drift is 0.96.,"{""volume_drift_score"": 0.8999999999999999, ""interval_drift_score"": 0.963318323519224, ""peer_drift_score"": 0.8260504201680672}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
AL-102e986a1f92,42623,5103,Familia T1,Categoria T1,technical,product_mix_drift,anomaly,68.92,medium,critical,0.7,0.44379207962196293,0.9985321791494166,0.82,0.0,Ask the account owner to validate whether the product mix changed or moved to another supplier.,Product behavior drifted versus historical and peer pattern.,delegado,24,technical_product_engine,Highest drift score is 1.00. | Volume drift is 0.00. | Interval drift is 1.00.,"{""volume_drift_score"": 0.0, ""interval_drift_score"": 0.9985321791494166, ""peer_drift_score"": 0.0}",2026-05-10T01:57:50.694097,2026-05-11T01:57:50.694097,False,
